2999	21900162	18769579	2960	21886891	18479230	3470	26096567	18635998	3452	25525900	18149081
1833	12916203	16353371	1839	12648488	16447115	2352	16741921	17167458	2362	16452551	16928231
2301	17958934	16758756	2341	18092215	17085625	2841	21710682	17568009	2853	21585632	17612819
1493	10577469	17643319	1495	10581012	17897204	2034	14249843	19003895	2039	14128448	18151958
2166	16425508	18660120	2152	16155674	18305789	2786	20638588	18610830	2760	20568056	18471417
1906	15093044	17832104	1926	15068762	17432647	2588	20029282	18027226	2457	18962445	18387586
2395	17495280	17282152	2421	17425633	17538100	2944	21586615	18285179	2872	20855849	18123027
1949	15445029	17537012	1966	15295335	17727948	2563	19898302	17998224	2608	19879190	17750642
2762	21131653	17829662	2817	21634928	18249392	3351	25325382	18449058	3287	24488707	17994935
1911	14014375	17578385	1867	13508002	17405920	2614	19307946	18125564	2511	18246768	17947171
2544	20155740	17409451	2622	20440928	17560828	3164	24071693	17911541	3101	23493745	18078713
2780	20932071	18069703	2755	20288940	18033871	3434	24999013	18969520	3433	25370186	18921957
3427	25606311	18043146	3381	25382990	18498057	3718	27613489	18401214	3683	26950038	17989396
2425	18562007	17111651	2422	18668261	17894090	3092	23136673	18209494	3028	22705433	18147974
2508	20910901	15377611	2593	20986270	15568435	3189	25247998	15960806	3060	24576350	16269880
2582	19427648	17655492	2502	18536593	18025214	3133	23092788	18387697	3180	23552177	18257990
2255	18571612	16612748	2200	17690202	17036429	2831	22314964	17775753	2847	22670363	17423781
1536	11750645	17636559	1521	11330564	18507763	2234	16834002	18751091	2219	16248125	18414068
1687	12656067	18962103	1742	12911049	19166271	2365	17882396	18614241	2402	17492072	18423043
1312	9399603	19499832	1318	9124718	19418564	2128	15084626	19733547	2057	14702004	19119277
3589	26787048	18169596	3559	26597534	18571707	3852	28552324	18489526	3826	27960819	18029874
