664	2139988	3336410	680	2207171	3316817	949	2952356	3368889	949	2978188	3227091
804	2602296	3513180	811	2625275	3288258	1110	3631311	3163229	1069	3486850	3137191
1125	3189181	3147930	1119	3152503	3147154	1361	3946961	3057000	1384	3935868	2920319
930	2651120	3239992	988	2916472	3149125	1241	3646291	3160588	1266	3635870	3026317
1081	3241256	3150715	1118	3516162	3085848	1285	3861507	3080160	1317	3990268	3007740
666	2135694	3370324	696	2244449	3416664	950	2994233	3423323	954	3037241	3309791
321	1056232	4552871	349	1149316	4269645	530	1735456	3747514	511	1743952	3716466
1094	3193169	3161071	1128	3377563	3197670	1420	4284817	3098113	1434	4298553	3034644
781	2565060	3600798	771	2573068	3540994	1060	3465660	3253021	1055	3486786	3247585
812	2451850	3405585	845	2522147	3401504	994	2891871	3279808	995	2963877	3244592
1044	3026007	3321986	1102	3281630	3245120	1384	4158351	3165725	1382	4131977	3089847
846	2399992	3194981	877	2606503	3143093	1198	3493680	3082994	1167	3462309	3029824
831	2629714	3167020	855	2735542	3061171	1106	3571800	3005226	1112	3571697	2996402
222	714968	3095646	249	884978	2845421	456	1518051	2910980	442	1419292	2981610
1200	3643526	3101833	1254	3865166	3180977	1420	4309150	3301429	1469	4487062	3161742
711	2183181	3187943	726	2281516	3124593	986	2971785	3136959	987	2979022	3123585
1101	3443373	3142026	1123	3549530	3098634	1312	3987733	3282412	1285	3950797	3109158
1036	3236534	3211274	1078	3427123	3119798	1328	4123639	3162825	1305	4032779	3035615
990	3144658	3291254	991	3151566	3304657	1257	3976912	3189591	1303	4125225	3107873
1013	3169021	3236449	1022	3201233	3180799	1318	3946999	3311495	1349	4066583	3151925
1415	4277141	3174775	1386	4236045	3152395	1620	4973605	3086991	1688	5170095	3041782
