2685	26390102	30162039	2750	28177319	29453800	3513	34754421	28167014	3399	33985161	28240565
2915	25491987	29430342	2924	25725510	29280460	3740	32733425	29009570	3619	31362683	29173783
3707	35836356	29493989	3701	35462645	29138734	4415	40707229	29017263	4320	40158740	28822131
3231	30777519	28848073	3251	30973560	28290442	3991	37005157	27736669	3909	35971378	27759083
3017	25135197	27686809	2934	24989589	28127520	3630	31630728	27502481	3545	31176685	27728050
3037	28923697	30553084	2986	28727587	29941933	3784	35718488	28576764	3629	35069065	28313953
2759	26600133	29920133	2743	26687387	29245859	3614	34607163	28299064	3519	33773010	27806169
3126	26436599	28432518	3217	27585867	27865241	3970	34043328	28014840	3936	33576683	27825773
3121	28270976	28292683	3178	28441917	28271120	4022	35937068	28355307	3970	35173210	28225186
3246	31611170	27662132	3213	31486498	27449222	3821	37051310	27018585	3821	37018520	26807043
3262	32744346	29215190	3284	32890836	29024538	4140	39402666	28689492	3997	37898133	28914537
2770	26631168	29359103	2776	27141233	29368492	3784	36295823	28462563	3619	34523010	28355312
3672	36697507	27853455	3714	36679498	27428360	4375	41599905	27914154	4290	41045338	27615531
2314	20837491	26270693	2406	22276780	26871042	3290	30171507	26188213	3151	28878233	26175422
3178	28132018	31256489	3222	29183629	30031133	4063	36689872	28141534	3862	35230432	28487526
2251	15830107	23934856	2351	17312822	23982699	2864	22201593	25104135	2836	21961131	24865182
3218	27864336	28756655	3310	29457067	28610621	4023	36160978	27323752	3918	35282349	27823543
2283	16161805	24177528	2333	17177990	24624818	3030	23268305	25011701	2980	23348833	24730508
2722	21285571	24830959	2727	21580768	24840186	3448	27692346	26117034	3479	27819445	26013775
2449	19453463	28995599	2482	20270402	28014357	3450	29293387	27211262	3353	28526323	27314098
4336	40565783	28343563	4306	40155421	27882902	4896	44416598	28190256	4845	43820351	28139970
